,original_sentences,adversarial_sentences
58,"FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3x£150pw to e£nd txt stop","FREE RINGTONE text HELP or text HELP to 87131 for a free trial. Free RINGTON E text HELP, or text Help or text Text HELP or Text Help? 0845 2814032 16 after 1st free, tones up to 3x£150pw to e£nd txt stop"
59,100 dating service cal;l 09064012103 box334sk38ch,advertisement
60,FREE entry into our £250 weekly competition just text the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk,"FREE entry into our £250 giveaway, just text the word YES to 800862."
61,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p,Send a Txt to 2 urs - 2 names joined by a name. Txt LOVE NAME1 NAME2 MOBNO eg LOVE NAMESend EVE 07123456789 to 870776789 POBox36504W45WQ TxtNO NAMESend no more than 150p
62,Someone has contacted our dating service and entered your phone because they fancy you! To find out who it is call from a landline 09111032124 . PoBox12n146tf150p,Someone has contacted your phone service and asked you to delete your phone because someone is calling you! To find out who it is call from a landline 09111032124.
63,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09058094455 from land line. Claim 3030. Valid 12hrs only,URGENT! The Mobile World Congress has been awarded with a £2000 prize. Call 09058094455 from land line. Call for details. 12hrs only
64,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX,Congrats! Nokia 3650 video camera phone is now available. Call 09066382422 Calls cost 150ppm Ave call 3mins to 5mins for mobiles. Phone cost 300603 Ldn BCM4284 Ldn WC1N3XX
65,"Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'","We are looking for any home worth £500 - £75,000. Homeowners + Homeowners Have you been previously contacted? We can still help. Call Free 0800 1956669 or call us back 'help'"
66,"UpgrdCentre Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9153. Offer ends 26th July. T&C's apply. Opt-out available","If you are a T&C customer, you may now claim your FREE CAMERA PHONE PHONE for free. Call now on 0207 153 782. Offer ends 26th July. T&Cs apply. Opt-out available"
67,okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm,"Dear Editor, this is your final notice to collect your CASH in Tenerife, Spain, or any other CASH you may have. Call 09061743806 from landline. CASH SAE Box326 CW25WX 150ppm"
68,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur Mob? Join the UK's largest Dogging Network by txting MOAN to 69888Nyt. ec2a. 31p.msg@150p,Want 2 get laid? Want real Dogging to be sent direct 2 the Mob? Join the UK's largest Dogging community by txting MOAN to 69888Nyt.com
69,"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com","FREE MESSAGE Get your FREE Messages by replying to this message with the following email address: For complete terms & conditions, visit:"
70,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!","Congrats! 1 year special pass for you is free! Call 09061209465 now! Suprman V, Matrix3, StarWars3, etc all are FREE! Dont miss out!"
71,+123 Congratulations - in this week's competition draw u have won the £1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm,Congratulations! Congratulations - in this week's competition draw you have won the £1450 prize to claim just call 09050002311 to claim your prize.Get SMS alerts to 22840 for only 150ppm
72,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+","You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player, and a £500 Txt subscription to the BBC iPlayer. You are also guaranteed the Nokia 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+"
73,Boltblue tones for 150p Reply POLY# or MONO# eg POLY3 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me or STOP 4 more tones txt MORE,4 more tones for each of the 5 tones POLY# or POLY # txt 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me or Let's Go 4 more tones txt MORE
74,Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz,“We have been topped up for a while.” tgxxrz
75,"URGENT!: Your Mobile No. was awarded a £2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU","We want Your Help! We have been awarded a £2,000 reward for your help on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU"
76,"Today's Offer! Claim ur £150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. £3.00 Sub. 16 . Unsub reply X",Great Offer! Claim ur £150 worth of discount vouchers! Text YES to 85023 now! 08717898035. £3.00 Sub. £1.00... reply X
77,You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750,We will update this tone within the next few days. For Terms and conditions please see our U.S. Pg 750
78,PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04,"S.I.M.A. Statement for 07815296484, 800 un-redeemed S.I.-M. A. Call 08718738001 Identifier Code 41782 Date: 18/11/04"
79,from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop,$5 max6/month for a txt stop
80,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,Update: We are trying to contact you. Last weekends draw was so successful that you will receive a £1000 reward. Call 09064012160. Code K52. Valid 12hrs only. 150ppm
81,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327","Do you have a cash balance?2,000? To call09050000327"
82,"our mobile number has won £5000, to claim calls us back or ring the claims hot line on 09050005321.","our phone number is £5000, to make phone calls call us back or ring the hot line on 09050005321."
83,We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow,We tried to contact you re your reply to our offer of 750% off. If you have a problem please phone call 08002988890 now or reply for free tomorrow
84,"For ur chance to win a £250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk","Enter for ur chance to win a £250 wkly shopping spree at SHOPPING.co.uk, 08715705022, 1x150p/wk"
85,You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo,You have been specially selected to receive a 2000% discount. Call 08712402050 BEFORE the date of publication. Cost 10ppm. 16+. T&Cs apply.
86,PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04,Date of Your 2003 Registration Statement for 07753741225 Date of Your Registration Statement For I. M. Call 08715203677 Identifier Code: 42478 Expires 24/10/04
87,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,Do you have an important question? Call 0800 542 0825
88,XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867,WEDNESDAY 2MOROW 28/5/17 – ZOUK WITH NICHOLS FROM THE MOTHER OF ALL LADIES! info: 07946746291/07880867867
89,22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222,22 days to kick off! We hope you will be kept up to date with the latest news and updates! To be removed send GETTY STOP to 83222
90,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693,1 Free Chat 2 free for guys in the area 4 just 25p Free 2 receive Search postcode or at least ONE message to 89693
91,Todays Vodafone numbers ending with 4882 are selected to a receive a £350 award. If your number matches call 09064019014 to receive your £350 award.,"You can contact Vodafone directly or by calling with 4882-7000 to a receive a £350 reward. If your number is incorrect, call 09064019014 to receive your £350 award."
92,"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.","Dear Editor: 2 claim this weeks offer, at your convenience go to Ts&Cs.com and txt STOP to 80062."
93,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203694 Identifier Code: 40533 Expires 31/10/04,Name: S. I. M. Account Statement: Call 08715203694 Identifier Code: 40533 Expires 31/10/04
94,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm","I have?1,000 cash and?2,000 credit cards. To the T&C: RSTM, SW7 3SS. 150ppm"
95,88800 and 89034 are premium phone services call 08718711108,888001107 08718711108
96,"SMS. ac sun0819 posts HELLO:""You seem cool, wanted to say hi. HI!!!"" Stop? Send STOP to 62468","From sun0819 to HELLO:""You seem cool, wanted to say HI!!!"" STOP to STOP"
97,Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just £1.50 per wk 2 opt out send STOP 08452810071 16,Get your 1st RINGTONE FREE NOW! Reply to this msg on YOUR TONE. SIGN UP FOR TOP 20 FREE SMSs to your phone every day for just £1.50 per wk 2 opt out! STOP 08452810071 16
98,Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+,"Hi I'm G2. I am 20 years old and work as a sex worker. I love sex. Text me live - I'm i my bedroom now. text me to 89555. By G2, I mean:"
99,<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,Call 08712404000 immediately as there is an emergency waiting for you
100,"To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT","To review and KEEP the fantastic Nokia N-Gage on deck with Nokia, go 2,000 words from the reply with the word OUT"
101,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs,How much is half price Orange line rental & latest camera phones? Can you use your phone 11mths+? Call Orange for free on 08000938767 to book now! Free T&Cs
102,08714712388 between 10am-7pm Cost 10p,advertisement
103,+449071512431 URGENT! This is the 2nd attempt to contact U!U have WON £1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max£7. 50,THIS IS URGENT! This is the 2nd attempt to make this call. I have to pay £1250 CALL 09071512433 b4 050703. This callcosts max£7. 50
104,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm,You have been given a guaranteed £1000 cash reward and a £2000 bonus. To contact us please call our customer service representative on 08714712394 between 10am-7pm
105,Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call 123,Email Address: Jeri: Low-cost way to email 123
106,Hi. Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY £10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,Hi. Loyalty is a NEW option from ONLY £10 at Txt. START to No: 81151 & get yours Now! TC 150p/MTmsg
107,U are subscribed to the best Mobile Content Service in the UK for £3 per 10 days until you send STOP to 82324. Helpline 08706091795,You are entitled to the best Customer Service in the UK for £3 per 10 days until the end of the month. STOP to the Customer Service Helpline 08706091795
108,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?","Do you know that in about 40 years, we will have thousands of robots running around with us?"
109,You have an important customer service announcement from PREMIER.,I have no idea from here.
110,"Romantic Paris. 2 nights, 2 flights from £79 Book now 4 next year. Call 08704439680Ts&Cs apply.","Booking 2 nights, 2 flights from £79 Booking next week Call us"
111,Urgent Ur £500 guaranteed award is still unclaimed! Call 09066368327 NOW closingdate04/09/02 claimcode M39M51 £1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF,The £500 guaranteed deposit is still unclaimed! Call 09066368327 NOW! M39M51
112,UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 £1.50perWKsub,Get in touch with the City of London and could WIN a £200 Shopping spree every WK. Txt STORE to 88039. T&Cs start at £1.50perWKsub
113,You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!,We have an important service from Calliope 542 now!
114,Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS),Ever thought about living a good life with a partner? Just txt your AGE to join the conversation. (100p/SMS)
115,"5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, £3 per pole. UnSub 08718727870.","5 Free Tones. Tones call 087018728737, £5 per pole. Get a free tune sent every week, just text Tones to 81618, £3 per day. Call 08718727870."
